technique name,type,tag,matrix tag,color,pretty_color,order_tag,connected techniques,scale,description,automation_function,automation_config,video_url
tidy up,control,done,"important, urgent",#02D754,#E673C8 ,organization,"mess up, eisenhower matrix",5,Click to organize all nodes by their order_tag. Background columns appear showing the organization structure.,tidyUp,,
mess up,control,,"not important, urgent",#F3F805,#819CE3,organization,"tidy up, eisenhower matrix",3,Click to return nodes to their natural messy order. Background columns disappear.,messUp,,
pretty it up,control,done,"important, not urgent",#FE7D18,#B882EF,aesthetics,color bombing,5,"Click to transform all colors to their pretty_color values. Background, fonts, and nodes become prettier.",prettyItUp,,
color bombing,control,,"not important, not urgent",#02D754,#E673C8 ,aesthetics,pretty it up,3,Click to return all colors to their initial color values. Everything goes back to the original color scheme.,colorBombing,,
coworking,control,,"important, not urgent",#F3F805,#819CE3,social,"runaway, guilty",5,Click to transform all node circles into 👀 emoji. All nodes become eyes watching you work.,coworking,,
run away,control,,"important, urgent",#FE7D18,#B882EF,social,"coworking, guilty",3,Click to transform all 👀 emoji back into colored circles. Nodes return to their original shape and color.,runAway,,
write down,control,,"important, not urgent",#02D754,#E673C8 ,visibility,,5,Click to make all nodes fully visible (100% opacity). Everything becomes clear and readable.,writeDown,,
keep it,control,,"urgent, not important",#F3F805,#819CE3,visibility,write down,3,"Click to reduce all nodes back to 70% opacity. Maintains a subtle, less prominent view.",keepIt,,
reversed list,control,,"important, not urgent",#FE7D18,#B882EF,visibility,,5,Click to recolor all nodes with 'done' tag to #03BA6D. Shows completed items in green.,reversedList,,
ordinary list,control,,"important, not urgent",#02D754,#E673C8 ,visibility,reversed list,3,Click to restore original colors for all nodes. Returns 'done' nodes to their initial colors.,ordinaryList,,
pomodoro,control,,"important, urgent",#F3F805,#819CE3,organization,timelaps,5,Click to transform all node circles into 🍅 emoji,pomodoro,,https://drive.google.com/file/d/1u0QYWOFmwHvPQ0iDM69l5PfKLP5RTnse/view?usp=sharing
timelaps,control,,"important, not urgent",#FE7D18,#B882EF,organization,pomodoro,5,Click to play fullscreen video. Press ESC to return to the mapping.,animation,,https://drive.google.com/file/d/1u0QYWOFmwHvPQ0iDM69l5PfKLP5RTnse/view?usp=sharing
guilty,control,,"important, urgent",#02D754,#E673C8 ,social,"run away, let it go, coworking",7,Click to transform all node circles into 💘 emoji. All nodes become eyes watching you work. And the node itself transforms into 🫠,guilty,,
let it go,control,,"important, urgent",#F3F805,#819CE3,social,"guilty, coworking, run away",5,Click to transform all emoji back into colored circles. Nodes return to their original shape and color.,runAway,,
eisenhower matrix,control,,"important, not urgent",#FE7D18,#B882EF,organization,mess up,5,,eisenhowerMatrix,,
task 1,technique,done,"important, urgent",#F3F805,#819CE3,aesthetics,,1,,,,
task 2,technique,done,"important, not urgent",#FE7D18,#B882EF,aesthetics,,1,,,,
task 3,technique,done,"urgent, not important",#02D754,#E673C8 ,visibility,,1,,,,
task 4,technique,done,"not important, not urgent",#F3F805,#819CE3,visibility,,1,,,,
task 5,technique,done,"important, urgent",#FE7D18,#B882EF,social,,1,,,,
task 6,technique,done,"important, not urgent",#02D754,#819CE3,aesthetics,,1,,,,
task 7,technique,done,"urgent, not important",#F3F805,#B882EF,aesthetics,,1,,,,
task 8,technique,done,"not important, not urgent",#FE7D18,#E673C8 ,visibility,,1,,,,
task 9,technique,done,"not important, not urgent",#02D754,#819CE3,visibility,,1,,,,
task 10,technique,,"not important, not urgent",#F3F805,#B882EF,social,,1,,,,
task 11,technique,,"important, urgent",#FE7D18,#819CE3,aesthetics,,1,,,,
task 12,technique,,"urgent, not important",#02D754,#B882EF,aesthetics,,1,,,,
task 13,technique,,"urgent, not important",#F3F805,#E673C8 ,visibility,,1,,,,
task 14,technique,,"urgent, not important",#FE7D18,#819CE3,visibility,,1,,,,
task 15,technique,,"urgent, not important",#02D754,#B882EF,social,,1,,,,
